id,user_name,user_id,match_id,home_team,away_team,match_date,picked_team,created_at
1,Shawn,1,1,Mexico,South Africa,2026-06-11,Mexico,2026-06-28 16:32:59
2,Jennie,2,1,Mexico,South Africa,2026-06-11,South Africa,2026-06-28 16:32:59
3,Daphne,3,1,Mexico,South Africa,2026-06-11,South Africa,2026-06-28 16:32:59
4,Elliot,4,1,Mexico,South Africa,2026-06-11,Mexico,2026-06-28 16:32:59
5,Wyatt,5,1,Mexico,South Africa,2026-06-11,Mexico,2026-06-28 16:32:59
6,Grandpa By,6,1,Mexico,South Africa,2026-06-11,Mexico,2026-06-28 16:32:59
7,Grandma Cathy,7,1,Mexico,South Africa,2026-06-11,Mexico,2026-06-28 16:32:59
8,Shawn,1,2,South Korea,Czechia,2026-06-12,South Korea,2026-06-28 16:32:59
9,Jennie,2,2,South Korea,Czechia,2026-06-12,Czechia,2026-06-28 16:32:59
10,Daphne,3,2,South Korea,Czechia,2026-06-12,Czechia,2026-06-28 16:32:59
11,Elliot,4,2,South Korea,Czechia,2026-06-12,South Korea,2026-06-28 16:32:59
12,Wyatt,5,2,South Korea,Czechia,2026-06-12,South Korea,2026-06-28 16:32:59
13,Grandpa By,6,2,South Korea,Czechia,2026-06-12,South Korea,2026-06-28 16:32:59
14,Grandma Cathy,7,2,South Korea,Czechia,2026-06-12,Czechia,2026-06-28 16:32:59
15,Shawn,1,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
16,Jennie,2,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
17,Daphne,3,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
18,Elliot,4,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
19,Wyatt,5,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
20,Grandpa By,6,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
21,Grandma Cathy,7,3,Canada,Bosnia and Herzegovina,2026-06-12,Canada,2026-06-28 16:32:59
22,Shawn,1,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
23,Jennie,2,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
24,Daphne,3,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
25,Elliot,4,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
26,Wyatt,5,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
27,Grandpa By,6,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
28,Grandma Cathy,7,4,USA,Paraguay,2026-06-12,USA,2026-06-28 16:32:59
29,Shawn,1,5,Qatar,Switzerland,2026-06-13,Switzerland,2026-06-28 16:32:59
30,Jennie,2,5,Qatar,Switzerland,2026-06-13,Switzerland,2026-06-28 16:32:59
31,Daphne,3,5,Qatar,Switzerland,2026-06-13,Switzerland,2026-06-28 16:32:59
32,Elliot,4,5,Qatar,Switzerland,2026-06-13,Switzerland,2026-06-28 16:32:59
33,Wyatt,5,5,Qatar,Switzerland,2026-06-13,Switzerland,2026-06-28 16:32:59
34,Grandpa By,6,5,Qatar,Switzerland,2026-06-13,Switzerland,2026-06-28 16:32:59
35,Grandma Cathy,7,5,Qatar,Switzerland,2026-06-13,Qatar,2026-06-28 16:32:59
36,Shawn,1,6,Brazil,Morocco,2026-06-13,Brazil,2026-06-28 16:32:59
